정류장명,위도,경도
농생명로두현마을,35.832162,127.071197
농촌진흥청동문,35.829709,127.059417
한국식품연구원,35.83338,127.050179
한국식품연구원,35.833519,127.049171
국립농업과학원,35.833415,127.041113
국립농업과학원,35.832823,127.041972
주리실,35.74718461,127.1527305
주리실,35.74727373,127.1527631
혁신호반5차아파트,35.840295,127.058419
혁신호반6차아파트,35.84053713,127.0586071
죽절리마을안,35.85720102,127.2200304
죽절리마을안,35.857211,127.219636
일임교,35.88457792,127.2147476
일임교,35.88461252,127.2145257
여울로이편한세상,35.83877,127.109692
흑석골입구,35.80416,127.150027
둔산코아루2차아파트,35.96226927,127.122735
하가더루벤스아파트,35.845669,127.10922
하가더루벤스아파트,35.845704,127.108898
송천센트럴파크2단지_,35.85449344,127.1166209
송천센트럴파크2단지_,35.8545005,127.1163551
송천서호2차아파트_,35.85712487,127.117184
송천서호2차아파트_,35.85706705,127.1166754
돌꼭지,35.8243496,127.0363565
후농마을,35.82283753,127.0327273
가상정류장,35.6683987,127.1079583
가상정류장,35.6688856,127.1079781
마당재,35.825256,127.163272
송천역네거리,35.869032,127.121231
송천역네거리,35.867376,127.121639
삼경사(통과),35.80343016,127.1555507
해교리,35.83586558,127.0207672
전북대학교.소나무한의원앞,35.841467,127.127164
전북대국제교류어학원,35.84525276,127.1305109
전북대종점,35.8495494,127.1275173
건지광장,35.846533,127.128811
가리내로하가영무예다음,35.83971631,127.1106682
가리내로하가영무예다음,35.83988337,127.1101019
정여립로 신흥리,35.7983161,127.0830408
삼산마을,35.8060261,127.0756479
전주가족랜드,35.80813399,127.0735981
전주가족랜드,35.80715618,127.0742737
삼산마을,35.8058951,127.0755822
정여립로 신흥리,35.7982481,127.0829305
정여립로안산마을,35.801554,127.079973
정여립로안산마을,35.801532,127.079737
키스트전북분원,35.95811974,127.1533215
키스트전북분원,35.95811864,127.1531663
추동정미소,35.95571866,127.1528039
추동정미소,35.955708,127.1525712
신시가지아르데코아파트,35.815529,127.111988
신원아침도시.힐스테이트,35.816521,127.111892
국립축산과학원,35.82509264,127.0557911
국립축산과학원,35.825256,127.061466
국립축산과학원,35.826151,127.062646
반월동농협,35.873944,127.063826
반월동농협,35.87422617,127.0640424
대야,35.79258606,127.0427465
청연,35.784944,127.0237696
약암입구,35.84232277,127.2732417
연봉마을,35.89082073,127.1210204
월평,35.83657282,127.0759478
한국출판문화산업진흥원,35.83854,127.063392
한국출판문화산업진흥원,35.83837,127.063413
새완주병원,35.9574618,127.1253479
새완주병원,35.9576391,127.1258239
폐지승강장,35.9176825,127.1699632
봉계마을,35.91302042,127.1798574
지동마을,35.91263963,127.1795289
신지동마을,35.91609041,127.1760641
신지동마을,35.91594461,127.1758329
양전마을,35.92005625,127.1708484
양전마을,35.92013308,127.1702271
완주군청,35.90364372,127.1617694
운곡마을,35.90422213,127.1581297
운곡마을,35.90409168,127.1575218
완주군청,35.90343566,127.1616609
애통리,35.81940589,126.9981443
서정마을입구,35.94348417,127.1463022
서정마을입구,35.94340227,127.1461923
한국전기안전공사본사정문,35.83557,127.056574
한국전기안전공사정문,35.83586986,127.0559951
국립식량과학원,35.8376419,127.0478653
국립식량과학원,35.83744573,127.0481333
원오신,35.8835422,127.036897
대지마을,35.85758803,127.142879
대지마을,35.857811,127.143005
교육대학교전주천서로,35.81016151,127.1540306
국립무형유산원,35.81064505,127.1587171
사용안함,35.8095508,127.1710074
사용안함,35.8095421,127.1711181
사용안함,35.809371,127.1711742
사용안함,35.8096226,127.1708743
사용안함,35.8093624,127.1713513
치명자산주차장,35.8096692,127.1714497
고산새마을금고,35.97455288,127.2086932
자포삼거리,35.9778908,127.2132837
고산성당,35.9750173,127.2107842
산정마을,35.84945892,127.1733511
하망표,35.85008537,127.2389897
장재마을,35.85076744,127.1638513
체련공원 소리문화의전당,35.85406304,127.1392573
기린중,35.85455441,127.1576002
송천1동주민센터,35.85701397,127.1207733
휴비스전주공장,35.85805152,127.0964678
야전리.유니온시티,35.85885709,127.1045699
팔선마을,35.86218725,127.0412471
하분토,35.86285779,127.2293648
도시첨단산업단지,35.86358541,127.0850765
천마산로 송천주공2단지,35.864102,127.127346
덕동주유소,35.83718986,127.0502204
서곡로타리,35.83759582,127.0998417
금암중앙하이츠,35.83806254,127.1376927
천수동마을입구,35.83890592,126.9893941
전북은행본점,35.84009301,127.131432
산정우정신세계아파트,35.842258,127.166941
양은마을,35.8426806,127.0528153
우아럭키아파트,35.844237,127.164656
예촌마을,35.84486093,126.9607881
역기마을,35.9668903,127.1072874
월암리,35.97198639,127.1669432
뷰텍,35.95863393,127.129707
뷰텍,35.95878836,127.1297936
서곡마을,35.83592,127.098148
동부대로 농수산시장,35.8696339,127.1175725
평화동(통과),35.7822729,127.1319219
화산체육관(통과),35.8214357,127.1213054
화산체육관(통과),35.8216701,127.1213043
삼봉로.삼례시장,35.91095521,127.0733218
삼봉로.삼례시장,35.91109004,127.0732759
천일강변아파트,35.86004601,127.1144724
용소마을제일아파트,35.860159,127.114794
좁은목,35.808221,127.160976
남고사입구,35.807525,127.158111
교육대학교,35.809193,127.153369
교육대학교,35.80983452,127.1531473
동서학거산황궁아파트,35.80678798,127.1537716
거산황궁아파트,35.805974,127.152742
남고사입구,35.807249,127.158836
지방행정(통과),35.83516385,127.026805
농소전원마을,35.818664,127.09928
농소전원마을,35.818903,127.099076
호동마을입구,35.79418865,127.0828417
호동마을,35.79004903,127.0813184
호동마을,35.79006841,127.0814952
서문.객리단길,35.817115,127.141616
예수병원,35.813639,127.133027
여울로이편한세상,35.838849,127.110153
기린대로현대병원,35.82894399,127.1428326
