공원명,공원구분,주소,위도,경도,면적
추심정 2,소공원,전북특별자치도 전주시 완산구 남노송동 102-13,35.8183021,127.1549494,244
추심정 1,소공원,전북특별자치도 전주시 완산구 기린대로 106,35.8188266,127.1548864,180
학봉,소공원,전북특별자치도 전주시 완산구 학봉1길 5-39,35.8042205,127.1525704,674
산성 1,소공원,전북특별자치도 전주시 완산구 동서학동860-9,35.8075645616,127.1573057714,210
산성 2,소공원,전북특별자치도 전주시 완산구 황학1길 6-3,35.8078617,127.1571844,321
산성공원,역사공원,전북특별자치도 전주시 완산구 남고산성1길 176-9,35.7953531,127.1602416,1642765
원각사,소공원,전북특별자치도 전주시 완산구 완산길 42,35.81141643,127.1428994,238
완산공원,근린공원,전북특별자치도 전주시 완산구 완산4길 30-27,35.8098296500,127.1413974000,682091
상산공원,어린이공원,전북특별자치도 전주시 완산구 삼천동1가 577,35.80070049,127.1198769,1673.8
송정공원,어린이공원,전북특별자치도 전주시 완산구 삼천동1가 609,35.79814472,127.1174232,1570
약수공원,어린이공원,전북특별자치도 전주시 완산구 상거마4길 15,35.79702585,127.1211804,2099
세내공원,어린이공원,전북특별자치도 전주시 완산구 거마산3길 10,35.7960636,127.124643,4068
그린공원,근린공원,전북특별자치도 전주시 완산구 거마남로 41,35.79492105,127.1214675,11335
모퉁이공원,어린이공원,전북특별자치도 전주시 완산구 삼천동1가 672-1,35.79372016,127.1181687,2235.5
거마공원,근린공원,전북특별자치도 전주시 완산구 삼천동1가 707,35.7984286,127.1226567,20187
강변공원,근린공원,전북특별자치도 전주시 완산구 삼천동1가 724-1,35.79913644,127.1109993,9927
곰솔나무길공원,문화공원,전북특별자치도 전주시 완산구 삼천동1가 732-5,35.8003179,127.128379,1759
안행구획제1공원,어린이공원,전북특별자치도 전주시 완산구 삼천동1가 739,35.8019499,127.1291837,1556
신안행로공원,어린이공원,전북특별자치도 전주시 완산구 삼천동1가 750-3,35.799774,127.1314605,1690
삼천주공공원,어린이공원,전북특별자치도 전주시 완산구 삼천동1가 765-1,35.794779,127.1114402,1500
함대공원,어린이공원,전북특별자치도 전주시 완산구 삼천동2가 762,35.7949353282,127.1070337,1513
효천공원,어린이공원,전북특별자치도 전주시 완산구 삼천동2가 1383-5,35.7954049,127.1049515,1758
삼천공원,근린공원,전북특별자치도 전주시 완산구 삼천동2가 산 82-1,35.7847381,127.0935428,1302364
불무 1,소공원,전북특별자치도 전주시 완산구 서서학동 102-2,35.8048088,127.1465562,257
재실공원,어린이공원,전북특별자치도 전주시 완산구 장승배기로 352-22,35.8021494,127.1482498,4719
불무2,소공원,전북특별자치도 전주시 완산구 서서학동 369-2,35.8042163,127.1465607870,478
장승백이,소공원,전북특별자치도 전주시 완산구 서서학동 370-46,35.8019409,127.1451674,321
흑석골,소공원,전북특별자치도 전주시 완산구 서서학동 986-6,35.7976637,127.1494195,1689
고사평 동 공원,어린이공원,전북특별자치도 전주시 완산구 서신동 1018,35.83820556,127.1086174,1907
안터공원,어린이공원,전북특별자치도 전주시 완산구 서신동 787-1,35.83091122,127.1196293,5574
도내기샘공원,근린공원,전북특별자치도 전주시 완산구 서신동 794,35.83172792,127.1168157,11207
서신길공원,근린공원,전북특별자치도 전주시 완산구 당산로 56,35.83159158,127.1144504,11473
전룡공원,어린이공원,전북특별자치도 전주시 완산구 서신동 834,35.82800698,127.1168991,3426
용두길공원,어린이공원,전북특별자치도 전주시 완산구 서신동 844,35.82743631,127.1136139,2802
바구멀,소공원,전북특별자치도 전주시 완산구 서신동 8-4,35.8283414,127.1252804,314
명당골공원,어린이공원,전북특별자치도 전주시 완산구 서신동 887-8,35.8261764,127.1192304,1622
서여울길공원,어린이공원,전북특별자치도 전주시 완산구 서신동 929-2,35.8361108,127.1111833,1548
고사평서 공원,어린이공원,전북특별자치도 전주시 완산구 서신동 944-1,35.8360794,127.1086379,1668
서일공원,근린공원,전북특별자치도 전주시 완산구 서신동 960-3,35.83741908,127.1160863,10674
서부공원,어린이공원,전북특별자치도 전주시 완산구 서신동 962-5,35.83436386,127.113067,6960
선수촌공원,어린이공원,전북특별자치도 전주시 완산구 서신동 965-4,35.8347051,127.1191793,7818
재뜸공원,어린이공원,전북특별자치도 전주시 완산구 서신동 988,35.82684179,127.1234647,2292
강당재,소공원,전북특별자치도 전주시 완산구 강당2길 29-9,35.81082594,127.1338864,125
가락구역2,소공원,전북특별자치도 전주시 완산구 서완산동1가 525-6,35.8127361,127.1384905,75
가락구역1,소공원,전북특별자치도 전주시 완산구 서완산동1가 574-11,35.81186758,127.1384133271,219
풍남,소공원,전북특별자치도 전주시 완산구 효자동1가504-8,35.80069621,127.1145129,191
모악산도립공원,근린공원,전북특별자치도 전주시 완산구 중인동 1129,35.7583868,127.0913206,5608490
다가공원,근린공원,전북특별자치도 전주시 완산구 중화산동1가 150-3,35.814131,127.1377817,68006
선너머공원,근린공원,전북특별자치도 전주시 완산구 중화산동2가 547,35.8098485,127.1265809,12351
메너머1길공원,어린이공원,전북특별자치도 전주시 완산구 중화산동2가 573,35.82167593,127.1213322,1500
인정길공원,어린이공원,전북특별자치도 전주시 완산구 중화산동2가 586,35.819395,127.1194681,6000
중산10길공원,어린이공원,전북특별자치도 전주시 완산구 중화산동2가 598,35.81861931,127.1219537,1500
중산5길공원,어린이공원,전북특별자치도 전주시 완산구 중화산동2가 619,35.81551245,127.1190226,1500
중산3길공원,어린이공원,전북특별자치도 전주시 완산구 중화산동2가 630,35.8158115,127.1221999,1500
화산네거리공원,어린이공원,전북특별자치도 전주시 완산구 중화산동2가 643,35.81349502,127.1212353,1500
근영공원,어린이공원,전북특별자치도 전주시 완산구 중화산동2가 655-4,35.81734089,127.1248339,1499.3
한두평공원,어린이공원,전북특별자치도 전주시 완산구 중화산동2가 662-5,35.8138669,127.1249097,1500
중산공원,근린공원,전북특별자치도 전주시 완산구 메너머4길 11,35.82481675,127.1215811,12237
매너머공원,어린이공원,전북특별자치도 전주시 완산구 중화산동2가 702-1,35.8224944,127.1189399,1674
33호공원,근린공원,전북특별자치도 전주시 완산구 중화산동2가 746-3,35.8223532,127.1144597,10330
111호공원,어린이공원,전북특별자치도 전주시 완산구 중화산동2가 757-1,35.8202248,127.1172278,1531
110호공원,어린이공원,전북특별자치도 전주시 완산구 중화산동2가 763-4,35.8196463,127.1147908,1512
112호공원,어린이공원,전북특별자치도 전주시 완산구 중화산동2가 775-3,35.81814082,127.1168265,1510
109호공원,어린이공원,전북특별자치도 전주시 완산구 중화산동2가 819-1,35.8210657,127.1147651,1513
화산공원,근린공원,전북특별자치도 전주시 완산구 중화산동2가 산 83-1,35.819811,127.1272054,579173
태평문화공원,문화공원,전북특별자치도 전주시 완산구 태평동 293,35.82405946,127.1376788,7211
태평소공원,소공원,전북특별자치도 전주시 완산구 태평동 299,35.8254860426,127.1386268744,768
태평공원,어린이공원,전북특별자치도 전주시 완산구 태평동 293,35.82405946,127.1376788,4146
도화봉공원,어린이공원,전북특별자치도 전주시 완산구 평화동1가 592-2,35.79682285,127.1336338,409
평화제1공원,어린이공원,전북특별자치도 전주시 완산구 평화동1가 597-6,35.7967199,127.1331757,207
평화제2공원,어린이공원,전북특별자치도 전주시 완산구 평화동1가 722-1,35.7952008,127.1337134,1974
감나무골공원,어린이공원,전북특별자치도 전주시 완산구 평화동1가 740-1,35.7947307,127.138129,1932
평화1공원,어린이공원,전북특별자치도 전주시 완산구 평화동1가 745-1,35.79205926,127.1375172,2861
신성공원,근린공원,전북특별자치도 전주시 완산구 평화동2가 230-133,35.79084629,127.1346697,15152
새터공원,어린이공원,전북특별자치도 전주시 완산구 맏내2길 20,35.79201581,127.1296714,3414
찬새암공원,어린이공원,전북특별자치도 전주시 완산구 평화동2가 858-4,35.7918147,127.1351967,1511.5
맏내공원,어린이공원,전북특별자치도 전주시 완산구 평화동2가 873-5,35.788911,127.1360995,1677
평화3-1호공원,어린이공원,전북특별자치도 전주시 완산구 평화동2가 889-6,35.7861578,127.1318067,2755
평화3-2호공원,어린이공원,전북특별자치도 전주시 완산구 평화동2가 896-2,35.7856694,127.1344426,2400
평화3-3호공원,어린이공원,전북특별자치도 전주시 완산구 평화동2가 897-2,35.78341674,127.1323374,2210
중앙공원,역사공원,전북특별자치도 전주시 완산구 풍남동3가 102,35.815519,127.1501926,49620
간납대1,소공원,전북특별자치도 전주시 완산구 풍남동3가 83-16,35.8174482,127.1520713,1132
간납대2,소공원,전북특별자치도 전주시 완산구 풍남동3가 1-16,35.8161146729,127.1553713,265
신리공원,어린이공원,전북특별자치도 전주시 완산구 효자동1가 551,35.8048145,127.122346,1500
성지산공원,근린공원,전북특별자치도 전주시 완산구 성지산로 55,35.802042,127.1235308,10000
양지공원,어린이공원,전북특별자치도 전주시 완산구 송정로 15,35.80241572,127.1183502,1658.5
가절길공원,어린이공원,전북특별자치도 전주시 완산구 신봉3길 17-14,35.81192009,127.1159247,2228.7
장성공원,어린이공원,전북특별자치도 전주시 완산구 효자동1가 631,35.80919207,127.1171132,2312
효자공원,근린공원,전북특별자치도 전주시 완산구 효자동1가 634,35.81104873,127.1201511,31597
효문공원,어린이공원,전북특별자치도 전주시 완산구 효자동1가 653,35.80235417,127.1152654,2400
풍남공원,어린이공원,전북특별자치도 전주시 완산구 효자동1가 655,35.80069621,127.1145129,1600
효림공원,어린이공원,전북특별자치도 전주시 완산구 효자동1가 659-4,35.81029906,127.1267309,3144
안행공원,어린이공원,전북특별자치도 전주시 완산구 효자동1가 681,35.80452048,127.1356336,1442
