주차장명,주차면수,운영시간,당일최고요금,주차요금,주소,전화번호,위도,경도
덕진광장,33면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 덕진구 덕진광장로 3,063-239-2767~69,35.8440940,127.1241030
하가지구 리드빌딩 옆,23면,09:00~21:00,"7,000원",기본(30):700추가(15):350,전주시 덕진구 가련산로 20,063-239-2767~69,35.8437847,127.1136272
서신동 서신지구대 옆,28면,09:00~21:00,"7,000원",기본(30):700추가(15):350,전주시 완산구 새터로 46,063-239-2767~69,35.8352259,127.1195604
만성지구 제1주차장,66면,24시간,"9,000원",기본(30):900추가(15):450,전주시 덕진구 만성동 1372-7,063-239-2767~69,35.8469849,127.0812912
만성지구 제7주차장,65면,24시간,"7,000원",기본(30):700추가(15):350,전주시 덕진구 만성동 1364-3,063-239-2767~69,35.8384148,127.0760990
만성지구 제4주차장,26면,24시간,"7,000원",기본(30):700추가(15):350,전주시 덕진구 만성동 1265-1,063-239-2767~69,35.8384148,127.0760990
서신동,131면,24시간,"7,000원","기본(30):700,추가(15):350",전주시 완산구 당산로 56,063-239-2767~69,35.8321943,127.1102682
서부신시가지농협중앙회,48면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 완산구 홍산북로 53,063-239-2767~69,35.8180191,127.1036921
서부신시가지비보이광장,124면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 완산구 홍산남로 83-17,063-239-2767~69,35.8161708,127.1110194
서부신시가지KB은행,62면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 완산구 홍산1길 4-13,063-239-2767~69,35.8147100,127.1075111
서부신시가지도청옆,43면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 완산구 홍산북로 75,063-239-2767~69,35.8180191,127.1036921
서부신시가지홍산광장,120면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 완산구 홍산남로 45-20,063-239-2767~69,35.8158002,127.1051396
서부신시가지시티병원,50면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 완산구 홍산2길 5-12,063-239-2767~69,35.8146302,127.1114062
중화산 2동,75면,24시간,"7,000원","기본(30):700,추가(15):350",전주시 완산구 신촌3길 28-4,063-239-2767~69,35.8173003,127.1150410
효천지구 제1주차장,44면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 완산구 효자동2가 1359-3,063-239-2767~69,35.8068278,127.0993165
삼천 2동,194면,24시간,"7,000원","기본(30):700,추가(15):350",전주시 완산구 상거마 4길 24,063-239-2767~69,35.7971120,127.1219613
건산천 1,77면,24시간,"7,000원","기본(30):700,추가(15):350",전주시 덕진구 팔달로 357-23 앞,063-239-2767~69,35.8291750,127.1408304
건산천 2,68면,24시간,"7,000원","기본(30):700,추가(15):350",전주시 덕진구 태진로 125-22,063-239-2767~69,35.8299763,127.1360539
노송천 주차장,70면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 노송여울2길 108,063-239-2767~69,35.8283411,127.1410503
오거리,183면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 완산구 팔달로 217-21,063-239-2767~69,35.8259252,127.1444612
한옥마을제3주차장,72면,24시간,"14,400원","기본(30):1,200추가(15):600",전주시 완산구 간납로 20,063-239-2767~69,35.8163154,127.1557540
신복마을,30면,09:00~18:00,"7,000원",기본(30):700추가(15):350,전주시 덕진구 팔복동1가 144-3,063-239-2767~69,35.8574188,127.1056379
평화2동,13면,24시간,"7,000원",기본(30):700추가(15):350,전주시 완산구 평화로 217,063-239-2767~69,35.7965950,127.1369939
제1산업단지 주차장,76면,24시간,"7,000원",기본(30):700추가(15):350,전주시 덕진구 팔복동1가 350-9,063-239-2767~69,35.8574188,127.1056379
금암2동 주차장,24면,24시간,"7,000원",기본(30):700추가(15):350,전주시 덕진구 금암동 1579-13,063-239-2767~69,35.8397006,127.1357700
에코시티 12,52면,24시간,"9,000원",기본(30):900추가(15):450,전주시 덕진구 송천동2가 1327-3,063-239-2767~69,35.8712869,127.1211313
만성지구 제2주차장,54면,24시간,"7,000원",기본(30):700추가(15):350,전주시 덕진구 만성동 1265-13,063-239-2767~69,35.8384148,127.0760990
만성지구 제8주차장,50면,24시간,"7,000원",기본(30):700추가(15):350,전주시 덕진구 만성동 1354-6,063-239-2767~69,35.8411978,127.0794100
공구거리 노상,40면,08:00~19:00,"9,000원",기본(30):900추가(15):450,전주시 완산구 고사동 227-1 일원,063-239-2767~69,35.8201697,127.1428285
전북대앞 노상,17면,08:00~21:00,"9,000원",기본(30):900추가(15):450,전주시 덕진구 금암동 664-9 일원,063-239-2767~69,35.8397006,127.1357700
전주시청 주변 노상,66면,07:00~19:00,"9,000원",기본(30):900추가(15):450,전주시 완산구 서노송동 595-9 일원,063-239-2767~69,35.8272525,127.1457493
에코시티 8주차장,59면,24시간,"7,000원",기본(30):700추가(15):350,전주시 덕진구 송천동2가 1299-4,063-239-2767~69,35.8712869,127.1211313
에코시티 13주차장,28면,24시간,"9,000원",기본(30):900추가(15):450,전주시 덕진구 송천동2가 1330-8,063-239-2767~69,35.8712869,127.1211313
신복로 주차장,16면,24시간,"7,000원",기본(30):700추가(15):350,전주시 덕진구 팔복동1가 178-2 일원,063-239-2767~69,35.8574188,127.1056379
조촌동 주차장,39면,24시간,"7,000원",기본(30):700추가(15):350,전주시 덕진구 반월동 232-2,063-239-2767~69,35.8784723,127.0695485
전주천 노상,117면,08:00~19:00,"7,000원",기본(30):700추가(15):350,전주시 완산구 동완산동 98-2 일원,063-239-2767~69,35.8088342,127.1437910
선수촌공원 노상,75면,09:00~18:00,"7,000원",기본(30):700추가(15):350,"전주시 완산구 온고을로 30-9, 새터로 95 옆 노상",063-239-2767~69,35.8338234,127.1140454
실내체육관,158면,24시간,"7,000원","기본(30):700, 추가(15):350",전주시 덕진구 권삼득로 308,063-239-2767~69,35.8442161,127.1292766
"동물원(호랑이), 동물원(기린)",828면,09:00~18:00,"1,000원","선불 1,000원(시간제한없음)/ 25인승 이상:선불 2,000원(시간제한없음)",전주시 덕진구 소리로 68,063-239-2767~69,35.8583563,127.1444873
"종합경기장(정문), 종합경기장(서문)",638면,07:00~23:00,"7,000원","기본(30):700, 추가(15):350",전주시 덕진구 기린대로 451,063-239-2767~69,35.8731864,127.0632383
한옥마을1,293면,24시간,"14,400원","기본(30):1,200, 추가(15):600",전주시 완산구 기린대로 99,063-239-2767~69,35.8122995,127.1599069
한옥마을2,171면,24시간,"14,400원","기본(30):1,200, 추가(15):600",전주시 완산구 어진길 30-10,063-239-2767~69,35.8163663,127.1479282
화산체육관,256면,24시간,"5,000원","기본(30):500, 추가(15):250",전주시 완산구 백제대로 310,063-239-2767~69,35.8025631,127.1255414
군산익산방면 만남의 광장,52면,24시간,무료,무료,전주시 덕진구 번영로 453,063-239-2767~69,35.8770102,127.0405003
호성동 만남의 광장,30면,24시간,무료,무료,전주시 덕진구 완주로 6,063-239-2767~69,35.8713765,127.1488598
무진장방면 만남의 광장,69면,24시간,무료,무료,전주시 덕진구 금상길 27,063-239-2767~69,35.8435219,127.1797975
여의동,45면,24시간,무료,무료,전주시 덕진구 여의동2가 608,063-239-2767~69,35.8674485,127.0850166
팔복동주차장,8면,24시간,무료,무료,전주시 덕진구 신복5길 33-11,063-239-2767~69,35.8564227,127.1064304
송천2동 시영아파트 앞,156면,24시간,무료,무료,전주시 덕진구 와룡로 97-14,063-239-2767~69,35.8648108,127.1120581
송천2동 주민자치센터 옆,17면,24시간,무료,무료,전주시 덕진구 두간11길 3-4 옆,063-239-2767~69,35.8650362,127.1154241
송천2동 용소초교 옆,17면,24시간,무료,무료,전주시 덕진구 송천3길 30-34(송천동1가 844-9),063-239-2767~69,35.8604901,127.1165227
송천2동 공원,13면,24시간,무료,무료,전주시 덕진구 두간5길 9(송천동1가 816-2),063-239-2767~69,35.8645180,127.1174335
송천2동 농수산시장 안,82면,24시간,무료,무료,전주시 덕진구 송천동2가 597-14,063-239-2767~69,35.8712869,127.1211313
송천1동 송천도서관 앞,32면,24시간,무료,무료,전주시 덕진구 솔내로 212(송천동2가 292),063-239-2767~69,35.8681911,127.1273801
인후2동 건지,26면,24시간,무료,무료,전주시 덕진구 백동로 14-7,063-239-2767~69,35.8465856,127.1482116
가련산,41면,24시간,무료,무료,전주시 덕진구 기린대로 535,063-239-2767~69,35.8348341,127.1358629
서신동 에덴교회 앞,29면,24시간,무료,무료,전주시 완산구 고사평1길 3,063-239-2767~69,35.8354020,127.1083115
서부신시가지 서곡방면,27면,24시간,무료,무료,전주시 완산구 황강서원1길 7,063-239-2767~69,35.8288921,127.0988734
서부신시가지 마전,42면,24시간,무료,무료,전주시 완산구 문학대5길 31-3,063-239-2767~69,35.8275103,127.1042278
서부신시가지 예다움 원룸,29면,24시간,무료,무료,전주시 완산구 척동4길 16-8,063-239-2767~69,35.8222070,127.1003810
서부신시가지 여명교회뒤,30면,24시간,무료,무료,전주시 완산구 배학5길 7,063-239-2767~69,35.8205351,127.0966022
서부신시가지 전북경찰청옆,33면,24시간,무료,무료,전주시 완산구 마전3길 12,063-239-2767~69,35.8239163,127.1024764
서부신시가지 KT&G전북본부 옆,20면,24시간,무료,무료,전주시 완산구 마전1길 12-3,063-239-2767~69,35.8218455,127.1024775
서부신시가지 KBS옆,33면,24시간,무료,무료,전주시 완산구 마전1길 12-3,063-239-2767~69,35.8218455,127.1024775
서부신시가지 도청사거리,20면,24시간,무료,무료,전주시 완산구 석산2길 7,063-239-2767~69,35.8195797,127.1046255
중화산2동 공영주차장,16면,24시간,무료,무료,전주시 완산구 화산천변3길 11-3,063-239-2767~69,35.8201775,127.1151133
정읍방면 만남의 광장,84면,24시간,무료,무료,전주시 완산구 쑥고개로 251(효자동2가 925-1),063-239-2767~69,35.8040444,127.1064490
서부신시가지 전주대 원룸옆,17면,24시간,무료,무료,전주시 완산구 봉곡2길 17-4,063-239-2767~69,35.8130190,127.0949463
서부신시가지 롯데마트뒤,42면,24시간,무료,무료,전주시 완산구 바우배기2길 27,063-239-2767~69,35.8171899,127.1051243
서부신시가지 신한은행,32면,24시간,무료,무료,전주시 완산구 홍산북로 13,063-239-2767~69,35.8172781,127.1110479
서부신시가지 보훈청,42면,24시간,무료,무료,전주시 완산구 효자동 2가 1243-1,063-239-2767~69,35.8045500,127.1122589
서부신시가지 전주대 신정문,32면,24시간,무료,무료,전주시 완산구 농소6길 3-5,063-239-2767~69,35.8173207,127.0951838
서부신시가지 봉곡,30면,24시간,무료,무료,전주시 완산구 봉곡1길 42,063-239-2767~69,35.8127311,127.1013909
서부신시가지 엘드아파트,24면,24시간,무료,무료,전주시 완산구 범안1길 7-27,063-239-2767~69,35.8118315,127.1094013
